InstanceSizeFlexibilityGroup,ArmSkuName,Ratio
BS Series,Standard_B1ls,1
BS Series,Standard_B1s,2
BS Series,Standard_B2s,8
BS Series High Memory,Standard_B1ms,1
BS Series High Memory,Standard_B2ms,4
BS Series High Memory,Standard_B4ms,8
BS Series High Memory,Standard_B8ms,16
BS Series High Memory,Standard_B12ms,24
BS Series High Memory,Standard_B16ms,32
BS Series High Memory,Standard_B20ms,40
D Series,Standard_D1,1
D Series,Standard_D2,2
D Series,Standard_D3,4
D Series,Standard_D4,8
D Series High Memory,Standard_D11,1
D Series High Memory,Standard_D12,2
D Series High Memory,Standard_D13,4
D Series High Memory,Standard_D14,8
DS Series,Standard_DS1,1
DS Series,Standard_DS2,2
DS Series,Standard_DS3,4
DS Series,Standard_DS4,8
DS Series High Memory,Standard_DS11,1
DS Series High Memory,Standard_DS12,2
DS Series High Memory,Standard_DS13,4
DS Series High Memory,Standard_DS14,8
DSv2 Series,Standard_DS1_v2,1
DSv2 Series,Standard_DS2_v2,2
DSv2 Series,Standard_DS3_v2,4
DSv2 Series,Standard_DS4_v2,8
DSv2 Series,Standard_DS5_v2,16
DSv2 Series High Memory,Standard_DS11-1_v2,1
DSv2 Series High Memory,Standard_DS11_v2,1
DSv2 Series High Memory,Standard_DS12-2_v2,2
DSv2 Series High Memory,Standard_DS12-1_v2,2
DSv2 Series High Memory,Standard_DS12_v2,2
DSv2 Series High Memory,Standard_DS13-2_v2,4
DSv2 Series High Memory,Standard_DS13-4_v2,4
DSv2 Series High Memory,Standard_DS13_v2,4
DSv2 Series High Memory,Standard_DS14-4_v2,8
DSv2 Series High Memory,Standard_DS14-8_v2,8
DSv2 Series High Memory,Standard_DS14_v2,8
DSv2 Series High Memory,Standard_DS15_v2,10
DSv2 Series High Memory Isolated,Standard_DS15i_v2,1
DSv3 Series,Standard_D2s_v3,1
DSv3 Series,Standard_D4s_v3,2
DSv3 Series,Standard_D8s_v3,4
DSv3 Series,Standard_D16s_v3,8
DSv3 Series,Standard_D32s_v3,16
DSv3 Series,Standard_D48s_v3,24
DSv3 Series,Standard_D64s_v3,32
Dv2 Series,Standard_D1_v2,1
Dv2 Series,Standard_D2_v2,2
Dv2 Series,Standard_D3_v2,4
Dv2 Series,Standard_D4_v2,8
Dv2 Series,Standard_D5_v2,16
Dv2 Series High Memory,Standard_D11_v2,1
Dv2 Series High Memory,Standard_D12_v2,2
Dv2 Series High Memory,Standard_D13_v2,4
Dv2 Series High Memory,Standard_D14_v2,8
Dv2 Series High Memory,Standard_D15_v2,10
Dv2 Series High Memory Isolated,Standard_D15i_v2,1
Dv3 Series,Standard_D2_v3,1
Dv3 Series,Standard_D4_v3,2
Dv3 Series,Standard_D8_v3,4
Dv3 Series,Standard_D16_v3,8
Dv3 Series,Standard_D32_v3,16
Dv3 Series,Standard_D48_v3,24
Dv3 Series,Standard_D64_v3,32
ESv3 Series,Standard_E2s_v3,1
ESv3 Series,Standard_E4s_v3,2
ESv3 Series,Standard_E4-2s_v3,2
ESv3 Series,Standard_E8s_v3,4
ESv3 Series,Standard_E8-4s_v3,4
ESv3 Series,Standard_E8-2s_v3,4
ESv3 Series,Standard_E16-4s_v3,8
ESv3 Series,Standard_E16s_v3,8
ESv3 Series,Standard_E16-8s_v3,8
ESv3 Series,Standard_E20s_v3,10
ESv3 Series,Standard_E32s_v3,16
ESv3 Series,Standard_E32-16s_v3,16
ESv3 Series,Standard_E32-8s_v3,16
ESv3 Series,Standard_E48s_v3,24
ESv3 Series,Standard_E64s_v3,28.8
